Species,A10,A11,A1,A20,A28,A29,A30,A6,A7,A9,B10,B1,B2,B3,B4,B5,B6,B7,B8,B9
Prevotella veroralis,0.0002908934,0.0017229307,0.0005116681,0.0011681415,0.0006346452,0.0,0.0005203397,0.0004012903,0.0,0.0017900865,0.0017263769,0.0016562074,0.0015607726,0.001193432,0.0017421397,0.0006319999,0.0021403366,0.0022100845,0.0,0.0048479815
Prevotella sp. oral taxon 306,0.0012715952,0.0032186679,0.0006888255,0.0017979976,0.0012305468,0.0,0.0009150257,0.0005018766,0.0,0.0017920609,0.0045460928,0.002294899,0.0030465792,0.0016234044,0.0149786593,0.0308715307,0.0155065544,0.0044628989,0.0,0.0132890252
Isoptericola variabilis,0.0002684191,0.0014945452,0.0,0.0007051252,0.0,0.0,0.0004071733,0.0001815505,0.0,0.0,0.0003768849,0.0007672849,0.000401957,0.0,0.0028419509,0.0043099997,0.0002849411,0.0032243945,0.0,0.0009565064
Actinobacteria sp.,0.0034607119,0.0046487885,0.0035265072,0.0057978487,0.0015182444,0.0,0.0114415412,0.0042447743,0.0041121911,0.0130544915,0.0018800052,0.007268517,0.0021748398,0.0017294621,0.0045416737,0.0076348985,0.0085922335,0.0054196766,0.0035637653,0.0002963916
Actinomyces sp. ICM39,0.0004708068,0.0002699069,0.0010461049,0.0012072598,0.0,0.0,0.0005102025,0.0004323184,0.0,0.000998742,0.0003625724,0.0003984855,0.0,0.0,0.0020377221,0.0002318762,0.0003693613,0.0,0.0011254685,0.0
Actinomyces sp.,0.0003153114,0.0049601065,0.0006177,0.0,0.0,0.0,0.0017035003,0.0010021505,0.0,0.0014261369,0.0026228359,0.0005848496,0.0007479276,0.0005551194,0.0019303584,0.0002870309,0.0025243807,0.0021644416,0.0017232386,0.0006012035
Actinomyces sp. ICM47,0.0049301901,0.0065729057,0.002306652,0.0015255186,0.0012014381,0.0045209775,0.0034110681,0.0003640592,0.0,0.0045439672,0.0083646564,0.0019258803,0.0060357962,0.0038668503,0.0108367542,0.0045922042,0.0019619206,0.0202221513,0.0,0.0023196851
Actinomyces bouchesdurhonensis,0.0,0.0166447222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004911673,0.0,0.0,0.0,0.0069444136,0.0,0.0,0.0006343417
Veillonella parvula,0.0011051973,0.0036692352,0.0031808447,0.0225274798,0.0035708299,0.0016383198,0.0102819603,0.0037882487,0.0040430334,0.0294582815,0.0185496281,0.0039695429,0.0110432576,0.0310301139,0.0097540782,0.0043846258,0.0018423733,0.0072635934,0.0039485698,0.004204451
Veillonella rogosae,0.0417858807,0.0007868697,0.0118426755,0.0074873897,0.0182382022,0.0033023119,0.033686748,0.0231115727,0.0180561992,0.0027491993,0.0021472933,0.0496686823,0.0034960714,0.0018239465,0.0063465529,0.0142851629,0.0009596905,0.0034727029,0.0082676132,0.0003146445
Veillonella dispar,0.0024676125,0.0154106521,0.0017534064,0.0047523759,0.0007523095,0.0,0.0045579397,0.0011659502,0.0023400633,0.0089776289,0.0059822414,0.0010460973,0.0076540719,0.0068813856,0.009727661,0.0024435803,0.011490928,0.0106202473,0.0017872176,0.009098175
Veillonella atypica,0.0010631563,0.037476118,0.0009493098,0.0035334434,0.0014477288,0.0,0.0008990067,0.0003107572,0.0011355722,0.0056145391,0.039144775,0.0016451743,0.0194370905,0.1006960075,0.0242532071,0.0147436836,0.0208482052,0.0185223697,0.0028088371,0.041608437
Veillonella tobetsuensis,0.0049880313,0.0001569744,0.0024936495,0.0,0.0013226786,0.0020675765,0.0038387325,0.0003266685,0.0,0.0022394026,0.0009594194,0.0102988275,0.0009994554,0.0,0.0005579357,0.0005586404,0.0001198516,0.0,0.0013022248,0.0005025469
Atopobium sp. oral taxon 810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008759455,0.0,0.0,0.0,0.0,0.0,0.0,0.0004725061,0.0,0.0,0.0
Slackia exigua,0.0,0.0001417084,0.0,0.0,0.0,0.0,0.0001569701,0.0001675549,0.0,0.0,0.0006372899,0.0002455008,0.0011399802,0.0,0.0,0.0002021521,0.0007312939,0.0,0.0,0.0005025469
Actinomyces johnsonii,0.000100964,4.14188e-05,0.0,0.0,0.0013297249,0.0,0.0005914016,0.0002504311,0.0006789637,0.0,0.0010345065,0.0003416626,0.0006110715,0.0,0.0003303478,0.0002745977,0.0001574041,0.0,0.0,0.0005383583
Actinomyces naeslundii,0.0002851419,4.71523e-05,0.000904369,0.0076485859,0.0007086673,0.0,0.0082155719,0.0003802101,0.0005222412,0.0006858818,0.0035793769,0.0006735791,0.0045078061,0.0005269317,0.0035307702,0.0014665653,0.000125303,0.003941287,0.0009515085,0.0005391362
Actinomyces oris,0.0023292085,0.0032350807,0.0027118623,0.0099697457,0.0110804247,0.0078914201,0.00412521,0.0036200658,0.0170294952,0.0018786428,0.0158148799,0.0025806927,0.0071548558,0.0050471157,0.0089131909,0.0030801539,0.0016586499,0.0011143028,0.0012262398,0.0042936282
Actinomyces sp. oral taxon 170,7.35835e-05,0.0,0.0,0.0,0.0,0.0,0.0001536576,0.0,0.0,0.0,0.0,0.0002706804,0.0,0.0,0.0,6.0574e-05,0.0,0.0,0.0,0.0
Prevotella baroniae,0.0001800142,0.0,0.0003965966,0.000525935,0.0007393013,0.0,0.0006610531,0.0004628837,0.0,0.0010073521,0.0004310352,0.0003330137,0.0007486561,0.0010220977,0.0004787867,0.0001089411,0.0001998434,0.0,0.0015559194,0.0006476701
Actinobacteria sp.,0.0001838062,0.0037187786,0.0,0.0026328145,0.0,0.0,0.0018168802,0.000776893,0.0017015644,0.0010069733,0.0028259059,0.0019804291,0.0006886033,0.0006320345,0.0022450132,0.0012184464,0.0007721947,0.0064223595,0.0011161927,0.0009106574
Actinomyces dentalis,0.00027726,0.0001145991,0.0007727381,0.0010285444,0.0006494621,0.0013080586,0.0065229606,0.0007379305,0.0008662315,0.0006744293,0.0034227589,0.0011360712,0.0016193951,0.000493931,0.0006612726,0.0010839683,0.0005069285,0.0045081156,0.0021746773,0.0024494941
Actinomyces sp. oral taxon 414,9.69426e-05,4.00888e-05,0.0,0.0015096109,0.0013755365,0.0,0.0010061244,0.0002970433,0.0,0.0,0.0013205142,0.0007117516,0.0006034743,0.0,0.0006948077,0.0001228296,0.0003643072,0.002153606,0.0015713328,0.0002282308
Actinomycetaceae sp.,9.11519e-05,0.0,0.0,0.0006761241,0.0,0.0,0.0002623912,0.0001832781,0.0,0.0,0.0030677082,0.0003732162,0.0006974558,0.0003686852,0.0008429357,0.0006184264,0.0001582218,0.0017943386,0.0011223595,0.0
Alloscardovia omnicolens,0.0,0.0046494416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018569606,0.0,0.0,0.0,0.0017024835,0.0,0.0,0.0013973172
Campylobacter curvus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001251824,0.0,0.0,0.0006729325,0.0,0.0,0.0,0.0004422709,0.0,0.0,0.0,0.0,0.0
Corynebacterium propinquum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25037e-05,0.0,0.0,0.0,0.0
Corynebacterium propinquum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24082e-05,0.0,0.0,0.0,0.0
Lactococcus raffinolactis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006583987,0.0,0.0,0.0,0.0,0.0,0.0
Leptotrichia massiliensis,0.0002848292,0.0003715197,0.0007076789,0.0009346528,0.0006721713,0.0,0.0006422189,0.0004513378,0.0007521408,0.0007463029,0.0008173935,0.0001991799,0.0011297321,0.0005610428,0.0002987968,0.0002025227,0.0001720999,0.0027253143,0.0,0.000464651
Leptotrichia hofstadii,0.0001497606,5.82853e-05,0.0,0.0007227134,0.0,0.0,0.0026735476,0.0003251676,0.0007521408,0.0,0.0005261924,0.0007343677,0.0016502634,0.0014642818,0.0003452592,0.0002434012,0.0001163622,0.0,0.0,0.0006780991
Leptotrichia buccalis,0.0004214853,7.60227e-05,0.0005378187,0.0,0.0007545222,0.0,0.0012046144,0.0,0.0,0.001221223,0.0009782523,0.0006209727,0.0019861405,0.0,0.0012235626,0.0003004275,0.0003318082,0.0036958861,0.001370988,0.0006821999
Leptotrichia sp. oral taxon 879,0.0002287406,0.0001421509,0.0006263924,0.0,0.0009879718,0.0,0.0016582682,0.0005013602,0.0011012826,0.0,0.0008180474,0.0002659077,0.0016502634,0.0045366918,0.0006669202,0.0003241025,0.000166755,0.0013626572,0.0,0.0007690541
Leptotrichia trevisanii,0.0001123832,0.0,0.0,0.0007146112,0.0,0.0,0.0004792655,0.0,0.0,0.0,0.0002583739,0.000336457,0.0,0.0,0.000258641,0.0,5.66784e-05,0.0,0.0,0.0002432965
Leptotrichia wadei,0.0003252174,0.0056785551,0.0014608232,0.0007516901,0.0005932018,0.0015808152,0.0003891231,0.0,0.0,0.0020427351,0.0051823173,0.00083313,0.0029633477,0.0018084609,0.002194141,0.0015119567,0.0022545622,0.0040333035,0.0009846277,0.0034653735
Leptotrichia shahii,0.0002131566,0.0025270767,0.0,0.0,0.0,0.0,0.0003029347,0.0,0.0,0.0009808541,0.0006145082,0.0,0.0,0.0005610428,0.0,7.46763e-05,0.0001740552,0.0,0.0,0.0007581364
Porphyromonas uenonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72514e-05,0.0,0.0,0.0
Prevotella denticola,0.0,0.0001885414,0.001664961,0.0006544489,0.0018914553,0.001570253,0.0004087195,0.0001917534,0.0008525292,0.0,0.0048179081,0.0013034707,0.0043708974,0.038517489,0.0016236456,0.0038886111,0.0018757198,0.0015169747,0.0,0.0036082067
Prevotella intermedia,0.0017312398,6.75686e-05,0.0044891694,0.0009184916,0.0008101186,0.0,0.0018456211,0.0123068805,0.0,0.0011479496,0.0027997332,0.021026552,0.0010680658,0.005140056,0.0012220604,0.0007502973,0.001401513,0.0058086909,0.0012736493,0.0031696719
Prevotella loescheii,0.0008785006,4.85711e-05,0.0009122103,0.0015858315,0.0008266902,0.0,0.0005406326,0.0012099147,0.0,0.0007175293,0.0002173416,0.0006245247,0.0,0.0,0.0002282464,0.0006381985,0.0003361841,0.0,0.0009008739,0.0002651278
Prevotella conceptionensis,7.41746e-05,0.0,0.0007672168,0.0024792576,0.0006339159,0.0,0.0004642184,0.0002853323,0.0,0.0011431364,0.0006520249,0.002509769,0.0012206782,0.0005516633,0.0002975119,0.0006672194,0.00036888,0.0017603368,0.0012696692,0.0005059518
Prevotella maculosa,0.0001069781,0.0,0.0,0.0008160377,0.0,0.0,0.0004903854,0.000294874,0.0,0.0,0.000975784,0.0004142936,0.0012362707,0.0006601378,0.0005967486,0.0001738315,0.0001362187,0.0,0.0,0.0004786091
Prevotella micans,0.000291739,3.37843e-05,0.0,0.0008660777,0.0,0.0,0.0003058823,0.0001802898,0.0,0.0,0.0028237653,0.0003484005,0.0,0.0,0.0002797259,4.80926e-05,9.43894e-05,0.0,0.0,0.0
Prevotella nanceiensis,0.0088741261,0.0001411352,0.0027857048,0.0078720369,0.0038845384,0.0011016306,0.0095101538,0.0098236141,0.0075627416,0.0021014644,0.0,0.0074927418,0.0010270492,0.0,0.0068862606,0.0031653987,0.0022909342,0.0015733491,0.0012436093,0.0
Prevotella oris,0.0005836778,0.0002511324,0.0015068734,0.0029730931,0.0021743592,0.0020318259,0.0004903854,0.0030689717,0.0,0.0016174299,0.0053183933,0.003334481,0.0054278803,0.0053276934,0.0046212349,0.0007815327,0.0007822695,0.0022710953,0.0009426778,0.0046457059
Selenomonas artemidis,0.0001421311,3.48843e-05,0.0,0.0,0.0,0.0,0.0002625873,0.0002119702,0.0,0.0,0.0015824527,0.0,0.0,0.0005798038,0.0006055243,4.30577e-05,0.0,0.0,0.0,0.0002751281
Solobacterium moorei,0.0006028382,7.42532e-05,0.0011454558,0.0008660777,0.0005764889,0.0,0.0004549233,0.0004284141,0.0,0.0012535115,0.0017132114,0.0021735036,0.0004880552,0.0005629489,0.0005324021,0.0003800699,0.0005768433,0.0016589343,0.0018889479,0.0012733601
Treponema medium,0.0002970276,0.0,0.0,0.0,0.0006952237,0.0,0.0003187875,0.0002007119,0.0,0.0,0.0004183911,0.0005721699,0.0,0.0002409145,0.000471664,5.09155e-05,0.0001280651,0.0,0.0007492625,0.0002924045
Treponema sp. OMZ 838,9.36446e-05,0.0,0.0006378588,0.0004318653,0.0,0.0027327271,0.000674998,0.000379993,0.0,0.0017612276,0.0002503891,0.0004506518,0.0005698268,0.0,0.0001994944,0.0,0.0001024375,0.0011488678,0.0,0.000303315
Treponema socranskii,0.0001906783,0.0,0.0,0.000594046,0.0,0.00396984,0.0002404506,0.000287838,0.0,0.000763692,0.0004156174,0.0006869763,0.0007122509,0.0003970457,0.0003593065,0.0001299299,0.0001615725,0.0019652024,0.0007813349,0.0005951619
Treponema socranskii,7.72581e-05,0.0,0.0,0.0004915604,0.0,0.0,0.0001586757,0.0,0.0,0.0,0.000161434,0.0003537729,0.0,0.0,0.0002768057,0.0,6.12947e-05,0.0,0.0,0.0
Treponema vincentii,0.0001715525,0.0,0.0,0.000707473,0.0,0.0,0.0001653804,0.0001730293,0.0,0.0,0.0004075892,0.0003225754,0.0,0.0,0.0005825013,5.87974e-05,5.89066e-05,0.0,0.0,0.0002470307
Actinomyces massiliensis,0.0001693842,7.89808e-05,0.0,0.000917611,0.0023756992,0.0,0.0024855997,0.0003955858,0.0006947052,0.0,0.0006326052,0.0006404369,0.0003753387,0.0,0.0013806691,0.0,0.0001096548,0.0014431174,0.0,0.0002982026
Porphyromonas somerae,0.134062209,0.0011327185,0.0100769404,0.0066144658,0.024758605,0.0065146849,0.0261990201,0.0370052043,0.01039977,0.0062757997,0.0,0.0203799585,0.0023690561,0.0,0.0023902751,0.0738289173,0.0179218106,0.0045954713,0.0184766814,0.0003468549
Rothia aeria/dentocariosa,0.001241101,0.0002920942,0.0017060799,0.0111351854,0.0038822565,0.0076266734,0.0001919674,0.0102706128,0.0204057404,0.0017476797,0.0008196208,0.0011806605,0.0090024907,0.0016470831,0.0050273034,0.0004876768,0.0004814637,0.0020838507,0.0145077911,0.0021152897
Selenomonas sp. oral taxon 138,9.75298e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003001141,0.0,0.0001225369,0.0,0.0,0.0002638847
Selenomonas sp. FOBRC6,4.05488e-05,0.0,0.0,0.0,0.0,0.0,0.0001586757,0.0,0.0,0.0,0.0001705969,0.0,0.0,0.0,0.0002158053,0.0,0.0001793879,0.0,0.0,0.0003036616
Selenomonas sp. oral taxon 126,0.0001182107,0.0,0.0,0.0,0.0,0.0,0.0001981632,0.0,0.0,0.0,0.0005049818,0.0,0.0004728906,0.0,0.0003009942,0.0,5.04914e-05,0.0,0.0,0.0009384295
Porphyromonas catoniae,0.000614277,0.0,0.0010141436,0.0022479978,0.0007785948,0.0,0.00117475,0.0006875644,0.0,0.0,0.0006678223,0.0006044814,0.0,0.0,0.000628956,0.0005470498,0.0001089217,0.0,0.0017834692,0.0
Prevotella saccharolytica,0.0001939289,0.0,0.0,0.0008684376,0.0,0.0,0.0002039137,0.0003013043,0.0,0.0,0.0001594778,0.000287644,0.0004519998,0.0,0.0002338199,5.66402e-05,0.0001505961,0.0,0.0,0.0
Lactobacillus mucosae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007684755,0.0,0.0,0.0,0.0,0.0,0.0012853605
Bifidobacterium dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008976506,0.0,0.0016430359,0.0006916708,0.0006074241,0.0026577179,0.0002583345,0.0,0.0,0.0021016601
Scardovia inopinata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007634539,0.0,0.0005963375,0.0,0.0,0.0,4.03696e-05,0.0,0.0,0.0061782819
Kingella kingae,8.23959e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008303428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cutibacterium granulosum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005204193,0.0,0.0,6.44701e-05,0.0,0.0,0.0,0.0
Prevotella fusca,0.0,0.0,0.0006998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004175402,0.0,0.0,0.0,0.0,0.0
Prevotella scopos,0.0001697854,0.0,0.0,0.0,0.0008905632,0.0,0.0016109888,0.0,0.0,0.0005988754,0.0018583247,0.0013747834,0.0012136041,0.0,0.0010886629,0.0001803474,0.0003417656,0.0017373123,0.0,0.0004326362
Prevotella melaninogenica,0.0146342122,0.0591022165,0.0112455022,0.007897457,0.0147052755,0.0026266087,0.0464845614,0.0002932108,0.0221550931,0.0132658775,0.0333918309,0.0273120381,0.0197481379,0.0052511557,0.0308808316,0.0178512917,0.0618954348,0.010914122,0.0058713025,0.0119542573
Prevotella sp. F0091,6.90459e-05,6.91724e-05,0.0008257625,0.0005173971,0.0018619661,0.0,0.0006444102,0.000319523,0.0,0.0014657959,0.004107696,0.0004795703,0.0012478144,0.0002299151,0.0010026539,0.0001289244,0.0009112378,0.0,0.0,0.0003384662
Prevotella sp. C561,0.000415947,0.0555561312,0.0,0.0,0.0057821184,0.0,0.0002321319,0.0,0.015451588,0.0011882504,0.0068656745,0.0112926706,0.0084573613,0.0240982913,0.0019923703,0.0233177416,0.0583396057,0.0025816404,0.0044162406,0.0027875286
Atopobium parvulum,0.0001884661,0.0240062243,0.0010380859,0.0005673557,0.0,0.0,0.0010393738,0.0001205815,0.0009439096,0.0017991361,0.0007603093,0.0008547802,0.0019865953,0.0020693999,0.0013053875,0.0054752854,0.0103731429,0.0015001873,0.0009492854,0.0057250484
Atopobium parvulum,0.0,0.0001882811,0.0,0.0,0.0,0.0,0.0001166424,0.0001548349,0.0,0.0,0.0001222768,0.0,0.0005791085,0.001139844,0.0,0.0003553646,0.000225282,0.0,0.0,0.0005002041
Olsenella uli,0.0001153657,0.0,0.0,0.0005817068,0.0,0.0,0.0002328999,0.0001874199,0.0,0.0004251665,0.0002490073,0.0003745439,0.0005470132,0.0004123545,0.0,0.0002010164,0.000112641,0.0,0.0,0.0007311605
Parascardovia denticolens,0.0,5.5675e-05,0.0,0.0007728709,0.0,0.0,0.0,0.0,0.0,0.0,0.0002154734,0.0,0.0015293002,0.0042931525,0.0,0.0,0.0008029605,0.0,0.0,0.0044416791
Microbacterium laevaniformans,0.0,0.0,0.0,0.0,0.0005931504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corynebacterium accolens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70314e-05,0.0,0.0,0.0,0.0
Phocaeicola abscessus,5.50209e-05,0.0,0.0,0.0,0.0,0.0,0.0002051114,0.0003715546,0.0,0.0,0.0002105681,0.0002547519,0.0,0.0,0.0002178606,0.0,8.54534e-05,0.0,0.0,0.000290769
Pseudopropionibacterium propionicum,0.0004797302,0.0,0.0007443981,0.0024938244,0.0008392995,0.0022075593,0.0014215087,0.0012747167,0.0015907345,0.0,0.0002394151,0.0005810937,0.0005308866,0.0,0.0016435713,0.0003375558,0.0002450738,0.0,0.0022697996,0.0
Peptostreptococcus stomatis,0.0018986116,0.0,0.0085960131,0.0023565241,0.0017412051,0.0,0.0039724461,0.0015908386,0.0,0.0028785313,0.0014945327,0.0099903543,0.0006150162,0.0035863862,0.000839514,0.0004632783,0.0015927582,0.0034475889,0.0018809914,0.0059067094
Megasphaera sp. MJR8396C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007520592
Prevotella enoeca,0.0001062079,3.74041e-05,0.0,0.0006984315,0.0,0.0,0.000212089,0.000691477,0.0,0.0,0.0002502503,0.000427635,0.0,0.0,0.0,0.0,0.0001159724,0.0,0.0,0.0003137245
Prevotella oulorum,0.0001928266,0.0011212284,0.0,0.0012258331,0.0006971129,0.0,0.0002147928,0.0006157463,0.0007521408,0.0018910283,0.0058533043,0.0006252129,0.0037805133,0.0019539155,0.0016064773,0.0009062288,0.0032029187,0.0023789556,0.0,0.0030219104
Prevotella sp. HJM029,0.0,0.0004911571,0.0,0.0,0.0,0.0,0.0002188201,0.0,0.0,0.0,0.0022228298,0.0,0.0007602908,0.0017996325,0.0002265664,0.0002669673,0.0010743366,0.0015136312,0.0,0.0015628893
Prevotella histicola,0.0001045019,0.0334962374,0.0014829129,0.0241138683,0.0,0.002134495,0.0,0.0,0.0007521408,0.0043121669,0.0171130378,0.0,0.0010048925,0.0139376101,0.0287558786,0.0227252098,0.0313879319,0.0048360494,0.0,0.0030461954
Campylobacter concisus,0.0003256911,0.0024459268,0.0,0.0018354104,0.0005739095,0.0019158793,0.0006734205,0.0026026323,0.0010484387,0.0033531144,0.0037944091,0.0022020267,0.0107088749,0.0038021838,0.0050075726,0.0018154227,0.002250501,0.0057683278,0.0012237775,0.0006316139
Campylobacter concisus,0.0,0.0001269471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025685,0.0,0.0,0.0001176447,0.0,0.0,0.0,0.0,0.0
Campylobacter concisus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001733023,0.0,2.27935e-05,0.0,0.0,0.0
Campylobacter concisus,0.0,0.0,0.0,0.0,0.0002429333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campylobacter concisus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65637e-05,1.9372e-05,0.0,0.0,0.0
Dialister pneumosintes,8.1744e-05,3.24077e-05,0.0009201889,0.0007035687,0.0,0.0,0.0003110465,0.000386861,0.0,0.0007507577,0.0007259443,0.0028303465,0.000467004,0.0007744743,0.0002272387,0.0,6.42312e-05,0.0017296421,0.0,0.0005815381
Dialister invisus,0.0004317303,0.0002482522,0.0016900739,0.001880961,0.0006384708,0.0015393965,0.0013565258,0.0019051962,0.0007475606,0.0010660334,0.0018409303,0.0015098929,0.0016673772,0.0018600337,0.0011937937,9.2559e-05,0.0018908433,0.0035534143,0.0007389163,0.0026566965
Micrococcales sp.,0.0,0.0006842451,0.0,0.0006787823,0.0005251536,0.0,0.0002911241,0.0001301565,0.0,0.0010014668,0.0077093376,0.0,0.001017073,0.000816236,0.000591978,0.0009095396,0.0010061926,0.0,0.0010315273,0.0002988684
Actinomyces marseillensis/pacaensis,0.0004867978,0.0014993862,0.0005932797,0.0008828715,0.0004022684,0.0,0.0007218446,0.0004507246,0.0007818865,0.0008451383,0.0004182681,0.0004326449,0.0004612621,0.0,0.0002851499,0.0004682877,0.0010404226,0.0021525491,0.0,0.0002198643
Veillonella denticariosi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000835587
Streptococcus sinensis,0.0003362029,0.0001210341,0.0012267489,0.0,0.0,0.0,0.0003031921,0.000488314,0.0,0.0,0.0018923005,0.000365543,0.0,0.0,0.0006116731,0.0002929219,0.0002719737,0.0018683961,0.0019074842,0.0003137245
Streptococcus cristatus,0.0003495845,0.0002240058,0.0008409186,0.0,0.000906791,0.0,0.0010735843,0.0003114867,0.0236222106,0.0,0.001062416,0.0011437929,0.0015073388,0.0014522822,0.0002730481,0.0011279288,0.0002852702,0.0,0.0036900519,0.0015241924
Streptococcus cristatus,0.0005144676,0.0013116396,0.0028502478,0.000685708,0.0018410203,0.002206432,0.0081991387,0.0007807893,0.0077478625,0.0015755431,0.0028740398,0.0027724329,0.0015479376,0.0034269847,0.0009836987,0.0012715719,0.0009312859,0.0022450655,0.0018606486,0.0013392272
Streptococcus cristatus,0.0005040453,0.00012021,0.00198181,0.0,0.0,0.0,0.0020627418,0.0002431477,0.0024252824,0.0016647499,0.0035431592,0.0010759817,0.0,0.0016340684,0.0002949545,0.000820265,0.0009886458,0.001175957,0.0037351773,0.0008543953
Streptococcus gordonii,0.0002650103,9.00915e-05,0.0,0.0,0.0004981312,0.0,0.0003754105,0.0002189306,0.0,0.0,0.0005342821,0.0,0.0,0.0,0.0002767181,6.00593e-05,0.0001595401,0.0,0.0007216592,0.0
Streptococcus gordonii,0.0002697801,0.0028788494,0.0024250526,0.0024362476,0.0025891624,0.002536128,0.0007795964,0.0005834747,0.00080594,0.0137645213,0.0073357186,0.0007925848,0.0006241139,0.0046087052,0.0019085799,0.0009624725,0.0018261131,0.009300034,0.0060627967,0.0031767359
Tannerella forsythia,0.0030507544,5.17192e-05,0.009664263,0.0017905427,0.0008026633,0.077515871,0.005102272,0.0007179769,0.0,0.003156053,0.0049659481,0.0077329766,0.0015081804,0.0040386621,0.0008224744,0.0005005017,0.0014212908,0.0053967986,0.0061975042,0.0061276722
Anaerolineaceae sp.,0.0,0.0,0.0,0.0,0.0,0.0032047436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggregatibacter aphrophilus,0.0001696316,1.94172e-05,0.0014728888,0.0,0.0013263994,0.0,0.0003265448,0.000449051,0.0,0.0,0.0,0.0009916159,0.0,0.0,0.0006713422,0.0001310656,4.70613e-05,0.0022184434,0.0011951517,0.0
Aggregatibacter segnis,0.0002670937,0.0,0.0017261296,0.0017818711,0.0018491216,0.0,0.0008754993,0.0006580923,0.0,0.0,0.0001295468,0.0004720986,0.0,0.0,0.0001780954,0.0001193385,0.0001231331,0.0,0.0013819528,0.0001655291
Aggregatibacter sp. oral taxon 458,0.0002000146,2.49083e-05,0.0013576829,0.0014620027,0.0057550466,0.0,0.0019183833,0.0005422547,0.0,0.0015636964,0.0001724775,0.0001164317,0.0006183954,0.0,0.0005758219,0.0003104894,0.0001055026,0.0,0.0010543965,0.0
Leptotrichia sp. oral taxon 215,0.0210489421,0.0003497143,0.0017153521,0.000711421,0.0027653886,0.0,0.0039925945,0.0021285594,0.0027314587,0.0024102042,0.0003767471,0.0040179214,0.0006856412,0.0,0.0,0.0039550962,0.0004191961,0.0044999169,0.0045244336,0.0
Leptotrichia sp. oral taxon 212,0.0011023098,4.65473e-05,0.0045367064,0.000445053,0.0009075621,0.0,0.0010805083,0.0019872645,0.0,0.0,0.0009894764,0.0005890924,0.0,0.0,0.0003386156,0.0023926587,0.0005306182,0.0,0.0040599784,0.0
Oribacterium sp. oral taxon 078,0.0,0.0,0.0,0.0,0.0,0.0,0.0001766706,0.0001428546,0.0,0.0,0.0005254827,0.0002687743,0.0005578585,0.0007749518,0.0002242683,0.0,4.05969e-05,0.0021407865,0.0,0.0002691978
Actinomyces graevenitzii,0.0054949615,0.0168256684,0.0017197166,0.0044780881,0.0,0.0026455669,0.002654069,0.0003250016,0.0198202755,0.0038197973,0.0015567616,0.0009852646,0.0048167266,0.0025579859,0.0036635083,0.0100423681,0.0051458769,0.0063297911,0.0030491117,0.000307432
